Data ukoäczenia;Deklarowany rozmiar;Czas realizacji
15.07.2024;S;49
22.08.2024;S;48
10.09.2024;S;87
25.09.2024;M;57
5.10.2024;M;148
14.10.2024;S;53
28.10.2024;S;45
18.11.2024;M;145
4.12.2024;L;105
8.01.2025;S;5
20.01.2025;L;163
14.02.2025;S;43
26.02.2025;M;415
15.03.2025;L;123
10.04.2025;M;103
5.05.2025;L;104
12.06.2025;L;302
25.06.2025;L;158
2.07.2025;L;98
11.07.2025;S;52
18.07.2025;M;95
29.07.2025;S;70
3.08.2025;M;95
14.08.2025;M;101
21.08.2025;M;57
29.08.2025;M;57
8.09.2025;S;53
22.09.2025;L;137
4.10.2025;S;73
12.10.2025;M;60
19.10.2025;S;126
27.10.2025;M;57
5.11.2025;L;124
15.11.2025;M;75
25.11.2025;M;89
10.12.2025;S;44
