ID;Started;Closed;Cycle Time
1;11.28.2023;1.5.2024;38
2;12.20.2023;1.11.2024;24
3;1.2.2024;1.16.2024;14
4;1.10.2024;1.17.2024;9
5;1.18.2024;1.22.2024;4
6;1.3.2024;1.26.2024;25
7;1.10.2024;1.29.2024;19
8;12.19.2023;2.6.2024;51
9;12.26.2023;2.12.2024;48
10;2.2.2024;2.15.2024;15
11;1.26.2024;2.17.2024;22
12;1.9.2024;2.18.2024;42
13;2.2.2024;2.19.2024;17
14;2.16.2024;2.21.2024;7
15;2.23.2024;2.28.2024;5
16;2.20.2024;3.12.2024;20
17;1.12.2024;3.14.2024;63
18;3.13.2024;3.19.2024;6
19;1.25.2024;3.20.2024;56
20;2.28.2024;3.22.2024;24
21;2.28.2024;3.22.2024;22
22;2.6.2024;3.26.2024;50
23;3.21.2024;3.27.2024;8
24;3.26.2024;3.28.2024;2
25;3.28.2024;3.29.2024;3
26;3.22.2024;3.30.2024;8
27;2.26.2024;4.1.2024;36
28;3.6.2024;4.2.2024;27
29;3.13.2024;4.9.2024;29
30;3.20.2024;4.9.2024;20
